Distance, Time
3018, 1092
98, 1099
114, 1107
118, 1115
118, 1123
115, 1130
99, 1137
3023, 1315
98, 1323
111, 1330
3048, 1509
91, 1515
92, 1522
92, 1528
3029, 1707
90, 1713
115, 1721
3043, 1900
103, 1907
3038, 2085
107, 2093
112, 2101
114, 2108
110, 2115
111, 2123
109, 2130
3019, 2309
107, 2316
3027, 2494
106, 2501
115, 2508
110, 2516
109, 2524
108, 2531
109, 2538
110, 2546
3022, 2724
107, 2732
111, 2739
111, 2746
111, 2754
115, 2761
114, 2769
113, 2777
111, 2784
115, 2792
112, 2799
112, 2807
117, 2814
114, 2823
112, 2830
111, 2837
112, 2847
112, 2860
117, 2871
114, 2882
111, 2893
114, 2905
116, 2917
118, 2928
119, 2939
120, 2951
122, 2963
118, 2974
123, 2985
121, 2997
117, 3008
117, 3019
124, 3032
119, 3043
114, 3054
115, 3065
124, 3078
118, 3088
117, 3099
125, 3111
117, 3123
116, 3134
126, 3146
118, 3156
117, 3169
118, 3180
121, 3191
119, 3203
115, 3214
115, 3225
115, 3236
115, 3249
117, 3260
118, 3271
119, 3282
121, 3295
132, 3306
119, 3317
119, 3329
124, 3341
121, 3352
121, 3363
132, 3375
121, 3386
116, 3397
117, 3408
118, 3420
115, 3431
115, 3443
115, 3454
117, 3466
118, 3477
3024, 3659
119, 3667
123, 3676
127, 3684
118, 3692
118, 3699
120, 3707
119, 3716
119, 3724
117, 3731
116, 3739
116, 3747
114, 3755
115, 3762
113, 3770
115, 3777
116, 3785
3052, 3968
96, 3974
100, 3981
3030, 4159
99, 4166
3016, 4343
100, 4350
114, 4358
113, 4366
114, 4373
109, 4380
113, 4388
115, 4396
107, 4403
107, 4410
115, 4418
3032, 4597
96, 4603
97, 4611
3036, 4789
86, 4795
85, 4801
85, 4806
84, 4812
83, 4818
82, 4824
83, 4830
83, 4836
3033, 5014
73, 5019
73, 5024
73, 5030
72, 5036
73, 5041
71, 5046
73, 5051
71, 5056
71, 5061
71, 5066
71, 5071
72, 5079
3022, 5262
72, 5267
3046, 5447
84, 5452
85, 5458
83, 5465
84, 5471
84, 5476
85, 5482
86, 5488
89, 5494
89, 5500
87, 5507
89, 5513
91, 5519
92, 5525
90, 5533
92, 5543
100, 5555
103, 5566
101, 5577
104, 5588
98, 5600
106, 5611
98, 5622
99, 5633
114, 5644
114, 5655
108, 5666
111, 5678
109, 5689
113, 5701
3034, 5883
126, 5892
127, 5901
127, 5909
129, 5917
129, 5926
131, 5935
132, 5944
131, 5952
133, 5961
135, 5969
134, 5979
137, 5988
138, 5997
138, 6005
138, 6014
142, 6024
3014, 6202
115, 6210
3037, 6388
153, 6398
152, 6409
3021, 6586
113, 6594
117, 6602
119, 6609
118, 6618
3031, 6796
108, 6804
122, 6812
126, 6820
129, 6829
3012, 7006
100, 7013
3027, 7191
79, 7197
3066, 7377
94, 7384
55, 7388
54, 7392
3030, 7571
46, 7574
47, 7578
48, 7582
3040, 7761
70, 7766
69, 7771
70, 7776
3018, 7954
78, 7959
78, 7965
79, 7970
78, 7975
78, 7982
78, 7987
3036, 8166
97, 8173
3001, 8349
83, 8355
84, 8360
84, 8367
82, 8373
3040, 8552
65, 8556
64, 8561
63, 8565
63, 8570
63, 8574
63, 8580
62, 8584
63, 8589
3030, 8767
51, 8771
3060, 8951
35, 8954
35, 8957
35, 8961
34, 8964
34, 8967
35, 8970
35, 8972
3042, 9152
29, 9154
30, 9157
31, 9160
3042, 9339
31, 9341
3019, 9520
31, 9523
3041, 9702
50, 9705
3036, 9884
